from,to,kat1a_rsd,kat1_rsd,kat2_rsd,kat3_rsd,kat4_rsd,kat1a_eur,kat1_eur,kat2_eur,kat3_eur,kat4_eur
"Beograd","Kruševac istok",480,960,1440,2880,5760,4.5,8.5,12.5,25,49.5
"Beograd","Kruševac zapad",480,970,1450,2910,5820,4.5,8.5,12.5,25,50
"Beograd","Koševi",500,1000,1510,3010,6020,4.5,1,13,26,51.5
"Beograd","Velika Drenova",520,1050,1570,3140,6270,4.5,9,13.5,27,54
"Beograd","Trstenik",560,1120,1680,3370,6740,5,10,14.5,29,58
"Beograd","Vrnjačka Banja",590,1190,1780,3560,7130,5.5,10.5,15.5,30.5,61
"Beograd","Lučani",430,860,1290,2580,5160,4,7.5,11.5,22.5,44.5
"Beograd","Prilipac",480,950,1430,2860,5720,4.5,8.5,12.5,24.5,49
"Beograd","Vrba",630,1260,1900,3790,7580,5.5,11,16.5,32.5,65
"Beograd","Adrani",410,810,1220,2430,4870,4,7,10.5,21,42
"Mali Požarevac","Subotica",470,950,1420,2840,5700,4.5,8.5,12.5,25,49
"Mali Požarevac","Žednik",420,830,1250,2500,5020,4,7.5,11,22,43.5
"Mali Požarevac","Bačka Topola",380,770,1150,2300,4610,3.5,7,10.5,20.5,40
"Mali Požarevac","Feketić",330,650,980,1960,3940,3,6,9,17.5,34
"Mali Požarevac","Vrbas",300,600,900,1800,3610,3,5.5,8,16,31.5
"Mali Požarevac","Zmajevo",260,530,790,1590,3190,2.5,5,7,14.5,28
"Mali Požarevac","Novi Sad",220,440,660,1320,2650,2,4,6,12,23
"Mali Požarevac","Kovilj",170,330,500,1000,2020,2,3,4.5,9,18
"Mali Požarevac","Beška",120,250,370,740,1490,1.5,2.5,3.5,7,13.5
"Mali Požarevac","Maradik",110,220,330,670,1340,1.5,2.5,3.5,6.5,12
"Mali Požarevac","Inđija",100,200,290,590,1190,1,2,3,5.5,10.5
"Mali Požarevac","Beograd",50,100,150,300,610,0.5,1,1.5,3,5.5
"Mali Požarevac","Umčari",20,40,50,110,210,0.5,0.5,0.5,1,2
"Mali Požarevac","Vodanj",30,70,100,200,410,0.5,1,1,2,4
"Mali Požarevac","Kolari",50,100,150,300,610,0.5,1,1.5,3,5.5
"Mali Požarevac","Smederevo",70,130,200,400,790,1,1.5,2,3.5,7
"Mali Požarevac","Požarevac",70,140,210,420,840,1,1.5,2,4,7.5
"Mali Požarevac","Velika Plana",150,300,450,900,1790,1.5,3,4,8,15.5
"Mali Požarevac","Markovac",180,360,540,1090,2170,2,3.5,5,9.5,19
"Mali Požarevac","Lapovo",200,400,590,1190,2380,2,3.5,5.5,10.5,20.5
"Mali Požarevac","Batočina",210,420,630,1250,2500,2,4,5.5,11,21.5
"Mali Požarevac","Jagodina",270,540,800,1610,3220,2.5,5,7,14,28
"Mali Požarevac","Ćuprija",300,610,910,1820,3650,3,5.5,8,16,31.5
"Mali Požarevac","Paraćin",330,670,1000,2000,4000,3,6,9,17.5,34.5
"Mali Požarevac","Ćićevac",380,760,1130,2270,4530,3.5,6.5,10,19.5,39
"Mali Požarevac","Ražanj",400,800,1200,2410,4810,3.5,7,10.5,21,41.5
"Mali Požarevac","Aleksinački Rudnici",460,920,1380,2750,5500,4,8,12,23.5,47
"Mali Požarevac","Aleksinac",470,940,1420,2830,5670,4.5,8.5,12.5,24.5,48.5
"Mali Požarevac","Niš jug",540,1080,1620,3240,6470,5,9.5,14,28,55.5
"Mali Požarevac","Doljevac",580,1170,1750,3500,7010,5,10,15,30,60
"Mali Požarevac","Brestovac",600,1200,1800,3600,7200,5.5,10.5,15.5,31,62
"Mali Požarevac","Leskovac centar",620,1240,1860,3720,7440,5.5,11,16,32,64
"Mali Požarevac","Leskovac jug",660,1330,1990,3980,7970,6,11.5,17,34,68.5
"Mali Požarevac","Grdelica",690,1390,2080,4170,8340,6,12,18,36,71.5
"Mali Požarevac","Predejane",740,1480,2220,4440,8870,6.5,13,19,38,76
"Mali Požarevac","Vladičin Han",810,1620,2430,4850,9710,7,14,21,41.5,83
"Mali Požarevac","Vranje",870,1750,2620,5240,10480,7.5,15,22.5,45,90
"Mali Požarevac","Bujanovac sever",910,1820,2730,5460,10930,8,16,23.5,47,93.5
"Mali Požarevac","Bujanovac jug",920,1840,2760,5530,11050,8,16,24,47.5,94.5
"Mali Požarevac","Preševo",980,1950,2930,5860,11730,8.5,17,25.5,50.5,100.5
"Mali Požarevac","Dimitrovgrad",850,1700,2560,5110,10220,7.5,15,22,44,87.5
"Mali Požarevac","Šid",310,620,930,1860,3730,3,5.5,8.5,16.5,32.5
"Mali Požarevac","Adaševci",50,100,150,300,610,0.5,1,1.5,3,5.5
"Mali Požarevac","Kuzmin",250,500,740,1490,2980,2.5,4.5,7,13.5,26
"Mali Požarevac","Sremska Mitrovica",190,380,570,1130,2280,2,3.5,5.5,10.5,20
"Mali Požarevac","Ruma",160,310,470,940,1880,1.5,3,4.5,8.5,16.5
"Mali Požarevac","Pećinci",120,240,360,720,1450,1.5,2.5,3.5,7,13
"Mali Požarevac","Takovo",320,640,960,1920,3850,3,6,8.5,17,33.5
"Mali Požarevac","Preljina jug",380,760,1140,2280,4560,3.5,7,10,20,39.5
"Mali Požarevac","Obrenovac",50,100,150,300,610,0.5,1,1.5,3,5.5
"Mali Požarevac","Ub",120,250,370,740,1490,1.5,2.5,3.5,7,13.5
"Mali Požarevac","Lajkovac",160,320,490,970,1960,1.5,3,4.5,9,17.5
"Mali Požarevac","Ljig",230,460,690,1380,2770,2.5,4.5,6.5,12.5,24
"Mali Požarevac","Merošina",560,1110,1670,3330,6660,5,9.5,14.5,28.5,57
"Mali Požarevac","Niš sever",540,1070,1610,3220,6440,5,9.5,14,28,55.5
"Mali Požarevac","Niš istok",550,1110,1660,3330,6650,5,9.5,14.5,28.5,57
"Mali Požarevac","Niš Malča",570,1150,1720,3450,6900,5,10,15,29.5,59
"Mali Požarevac","Bela Palanka",670,1330,2000,4000,7990,6,11.5,17.5,34.5,68.5
"Mali Požarevac","Pirot zapad",740,1470,2210,4410,8830,6.5,13,19,38,75.5
"Mali Požarevac","Pirot istok",770,1540,2310,4630,9250,7,13.5,20,40,79.5
"Mali Požarevac","Čačak (Pakovraće)",410,820,1230,2460,4920,4,7.5,11,21.5,42.5
"Mali Požarevac","Hrtkovci",190,380,570,1130,2280,2,3.5,5.5,10.5,20
"Mali Požarevac","Šabac",230,450,680,1360,2730,2.5,4,6.5,12.5,24
"Mali Požarevac","Kruševac istok",430,860,1290,2570,5150,4,7.5,11.5,22,44
"Mali Požarevac","Kruševac zapad",430,870,1300,2600,5210,4,7.5,11.5,22.5,45
"Mali Požarevac","Koševi",450,900,1350,2710,5410,4,8,12,23.5,46.5
"Mali Požarevac","Velika Drenova",470,940,1420,2830,5670,4.5,8.5,12.5,24.5,48.5
"Mali Požarevac","Trstenik",510,1020,1530,3060,6130,4.5,9,13.5,26.5,52.5
"Mali Požarevac","Vrnjačka Banja",540,1090,1630,3260,6520,5,9.5,14,28,56
"Mali Požarevac","Lučani",480,960,1440,2880,5770,4.5,8.5,13,25.5,50
"Mali Požarevac","Prilipac",530,1050,1580,3160,6330,5,9.5,14,27.5,54.5
"Mali Požarevac","Vrba",580,1160,1740,3490,6980,5,10,15,30,60
"Mali Požarevac","Adrani",460,910,1370,2730,5480,4.5,8,12,24,47.5
"Umčari","Subotica",490,990,1470,2950,5910,5,9,13,26,51
"Umčari","Žednik",440,870,1300,2610,5230,4.5,8,11.5,23,45.5
"Umčari","Bačka Topola",400,810,1200,2410,4820,4,7.5,11,21.5,42
"Umčari","Feketić",350,690,1030,2070,4150,3.5,6.5,9.5,18.5,36
"Umčari","Vrbas",320,640,950,1910,3820,3.5,6,8.5,17,33.5
"Umčari","Zmajevo",280,570,840,1700,3400,3,5.5,7.5,15.5,30
"Umčari","Novi Sad",240,480,710,1430,2860,2.5,4.5,6.5,13,25
"Umčari","Kovilj",190,370,550,1110,2230,2.5,3.5,5,10,20
"Umčari","Beška",140,290,420,850,1700,2,3,4,8,15.5
"Umčari","Maradik",130,260,380,780,1550,2,3,4,7.5,14
"Umčari","Inđija",120,240,340,700,1400,1.5,2.5,3.5,6.5,12.5
"Umčari","Beograd",70,140,200,410,820,1,1.5,2,4,7.5
"Umčari","Mali Požarevac",20,40,50,110,210,0.5,0.5,0.5,1,2
"Umčari","Vodanj",20,30,50,100,190,0.5,0.5,0.5,1,2
"Umčari","Kolari",30,70,100,200,400,0.5,1,1,2,3.5
"Umčari","Smederevo",50,100,150,290,580,0.5,1,1.5,2.5,5
"Umčari","Požarevac",50,110,160,320,630,0.5,1,1.5,3,5.5
"Umčari","Velika Plana",130,260,390,790,1580,1.5,2.5,3.5,7,13.5
"Umčari","Markovac",160,330,490,980,1960,1.5,3,4.5,8.5,17
"Umčari","Lapovo",180,360,540,1080,2170,2,3.5,5,9.5,19
"Umčari","Batočina",190,380,570,1150,2290,2,3.5,5,10,20
"Umčari","Jagodina",250,500,750,1500,3010,2.5,4.5,6.5,13,26
"Umčari","Ćuprija",290,570,860,1720,3440,2.5,5,7.5,15,29.5
"Umčari","Paraćin",320,630,950,1890,3790,3,5.5,8.5,16.5,32.5
"Umčari","Ćićevac",360,720,1080,2160,4320,3.5,6.5,9.5,18.5,37
"Umčari","Ražanj",380,770,1150,2300,4600,3.5,7,10,20,39.5
"Umčari","Aleksinački Rudnici",440,880,1320,2650,5290,4,8,11.5,23,45.5
"Umčari","Aleksinac",450,910,1360,2730,5450,4,8,12,23.5,47
"Umčari","Niš jug",520,1040,1560,3130,6260,4.5,9,13.5,27,53.5
"Umčari","Doljevac",570,1130,1700,3400,6790,5,10,15,29.5,58.5
"Umčari","Brestovac",580,1170,1750,3500,6990,5,10,15,30,60
"Umčari","Leskovac centar",600,1200,1810,3610,7230,5.5,10.5,15.5,31,62
"Umčari","Leskovac jug",650,1290,1940,3880,7760,6,11.5,17,33.5,66.5
"Umčari","Grdelica",680,1350,2030,4060,8120,6,12,17.5,35,69.5
"Umčari","Predejane",720,1440,2160,4330,8660,6.5,12.5,18.5,37,74
"Umčari","Vladičin Han",790,1580,2370,4750,9490,7,13.5,20.5,41,81.5
"Umčari","Vranje",860,1710,2570,5130,10270,7.5,15,22,44,88
"Umčari","Bujanovac sever",890,1790,2680,5360,10720,8,15.5,23,46,92
"Umčari","Bujanovac jug",900,1810,2710,5420,10840,8,15.5,23.5,46.5,93
"Umčari","Preševo",960,1920,2880,5760,11520,8.5,16.5,25,49.5,98.5
"Umčari","Dimitrovgrad",830,1670,2500,5010,10010,7.5,14.5,21.5,43,86
"Umčari","Šid",330,660,980,1970,3940,3.5,6,9,17.5,34.5
"Umčari","Adaševci",70,140,200,410,820,1,1.5,2,4,7.5
"Umčari","Kuzmin",270,540,790,1600,3190,3,5,7.5,14.5,28
"Umčari","Sremska Mitrovica",210,420,620,1240,2490,2.5,4,6,11.5,22
"Umčari","Ruma",180,350,520,1050,2090,2,3.5,5,9.5,18.5
"Umčari","Pećinci",140,280,410,830,1660,2,3,4,8,15
"Umčari","Takovo",340,680,1010,2030,4060,3.5,6.5,9,18,35.5
"Umčari","Preljina jug",400,800,1190,2390,4770,4,7.5,10.5,21,41.5
"Umčari","Obrenovac",70,140,200,410,820,1,1.5,2,4,7.5
"Umčari","Ub",140,290,420,850,1700,2,3,4,8,15.5
"Umčari","Lajkovac",180,360,540,1080,2170,2,3.5,5,10,19.5
"Umčari","Ljig",250,500,740,1490,2980,3,5,7,13.5,26
"Umčari","Merošina",540,1070,1610,3220,6450,5,9.5,14,28,55.5
"Umčari","Niš sever",520,1040,1560,3110,6220,4.5,9,13.5,27,53.5
"Umčari","Niš istok",540,1070,1610,3220,6440,5,9.5,14,28,55.5
"Umčari","Niš Malča",560,1110,1670,3340,6690,5,9.5,14.5,29,57.5
"Umčari","Bela Palanka",650,1300,1940,3890,7780,6,11.5,17,33.5,66.5
"Umčari","Pirot zapad",720,1440,2150,4310,8620,6.5,12.5,18.5,37,74
"Umčari","Pirot istok",750,1510,2260,4520,9040,6.5,13,19.5,39,77.5
"Umčari","Čačak (Pakovraće)",430,860,1280,2570,5130,4.5,8,11.5,22.5,44.5
"Umčari","Hrtkovci",210,420,620,1240,2490,2.5,4,6,11.5,22
"Umčari","Šabac",250,490,730,1470,2940,3,4.5,7,13.5,26
"Umčari","Kruševac istok",410,820,1230,2470,4940,4,7.5,11,21.5,42.5
"Umčari","Kruševac zapad",420,830,1250,2500,5000,4,7.5,11,21.5,43
"Umčari","Koševi",430,870,1300,2600,5200,4,7.5,11.5,22.5,44.5
"Umčari","Velika Drenova",450,910,1360,2730,5450,4,8,12,23.5,47
"Umčari","Trstenik",490,990,1480,2960,5920,4.5,8.5,13,25.5,51
"Umčari","Vrnjačka Banja",530,1050,1580,3150,6310,5,9,13.5,27,54
"Umčari","Lučani",500,1000,1490,2990,5980,5,9,13.5,26.5,52
"Umčari","Prilipac",550,1090,1630,3270,6540,5.5,10,14.5,28.5,56.5
"Umčari","Vrba",560,1130,1690,3380,6760,5,10,14.5,29,58
"Umčari","Adrani",480,950,1420,2840,5690,5,8.5,12.5,25,49.5
"Vodanj","Subotica",500,1020,1520,3050,6100,5,9,13.5,26.5,52.5
"Vodanj","Žednik",450,900,1350,2710,5420,4.5,8,12,23.5,47
"Vodanj","Bačka Topola",410,840,1250,2510,5010,4,7.5,11.5,22,43.5
"Vodanj","Feketić",360,720,1080,2170,4340,3.5,6.5,10,19,37.5
"Vodanj","Vrbas",330,670,1000,2010,4010,3.5,6,9,17.5,35
"Vodanj","Zmajevo",290,600,890,1800,3590,3,5.5,8,16,31.5
"Vodanj","Novi Sad",250,510,760,1530,3050,2.5,4.5,7,13.5,26.5
"Vodanj","Kovilj",200,400,600,1210,2420,2.5,3.5,5.5,10.5,21.5
"Vodanj","Beška",150,320,470,950,1890,2,3,4.5,8.5,17
"Vodanj","Maradik",140,290,430,880,1740,2,3,4.5,8,15.5
"Vodanj","Inđija",130,270,390,800,1590,1.5,2.5,4,7,14
"Vodanj","Beograd",80,170,250,510,1010,1,1.5,2.5,4.5,9
"Vodanj","Mali Požarevac",30,70,100,200,410,0.5,1,1,2,4
"Vodanj","Umčari",20,30,50,100,190,0.5,0.5,0.5,1,2
"Vodanj","Kolari",20,30,50,100,200,0.5,0.5,0.5,1,2
"Vodanj","Smederevo",30,60,100,190,390,0.5,1,1,2,3.5
"Vodanj","Požarevac",40,70,110,220,440,0.5,1,1,2,4
"Vodanj","Velika Plana",120,230,350,690,1390,1.5,2,3,6,12
"Vodanj","Markovac",150,290,440,880,1770,1.5,2.5,4,8,15.5
"Vodanj","Lapovo",160,330,490,990,1970,1.5,3,4.5,8.5,17
"Vodanj","Batočina",170,350,520,1050,2100,1.5,3,4.5,9,18
"Vodanj","Jagodina",230,470,700,1410,2810,2,4.5,6,12.5,24.5
"Vodanj","Ćuprija",270,540,810,1620,3240,2.5,5,7,14,28
"Vodanj","Paraćin",300,600,900,1800,3590,3,5.5,8,15.5,31
"Vodanj","Ćićevac",340,690,1030,2060,4130,3,6,9,18,35.5
"Vodanj","Ražanj",370,730,1100,2200,4410,3.5,6.5,9.5,19,38
"Vodanj","Aleksinački Rudnici",420,850,1270,2550,5100,4,7.5,11,22,44
"Vodanj","Aleksinac",440,880,1310,2630,5260,4,8,11.5,22.5,45
"Vodanj","Niš jug",510,1010,1520,3030,6060,4.5,9,13,26,52
"Vodanj","Doljevac",550,1100,1650,3300,6600,5,9.5,14.5,28.5,56.5
"Vodanj","Brestovac",570,1130,1700,3400,6800,5,10,15,29.5,58.5
"Vodanj","Leskovac centar",590,1170,1760,3520,7040,5.5,10,15.5,30.5,60.5
"Vodanj","Leskovac jug",630,1260,1890,3780,7560,5.5,11,16.5,32.5,65
"Vodanj","Grdelica",660,1320,1980,3970,7930,6,11.5,17,34,68
"Vodanj","Predejane",710,1410,2120,4230,8470,6.5,12.5,18.5,36.5,72.5
"Vodanj","Vladičin Han",780,1550,2330,4650,9300,7,13.5,20,40,79.5
"Vodanj","Vranje",840,1680,2520,5040,10070,7.5,14.5,22,43.5,86.5
"Vodanj","Bujanovac sever",880,1750,2630,5260,10520,8,15,22.5,45,90
"Vodanj","Bujanovac jug",890,1770,2660,5320,10650,8,15.5,23,45.5,91
"Vodanj","Preševo",940,1890,2830,5660,11320,8.5,16.5,24.5,48.5,97
"Vodanj","Dimitrovgrad",820,1640,2450,4910,9820,7.5,14.5,21,42,84
"Vodanj","Šid",340,690,1030,2070,4130,3.5,6,9.5,18,36
"Vodanj","Adaševci",80,170,250,510,1010,1,1.5,2.5,4.5,9
"Vodanj","Kuzmin",280,570,840,1700,3380,3,5,8,15,29.5
"Vodanj","Sremska Mitrovica",220,450,670,1340,2680,2.5,4,6.5,12,23.5
"Vodanj","Ruma",190,380,570,1150,2280,2,3.5,5.5,10,20
"Vodanj","Pećinci",150,310,460,930,1850,2,3,4.5,8.5,16.5
"Vodanj","Takovo",350,710,1060,2130,4250,3.5,6.5,9.5,18.5,37
"Vodanj","Preljina jug",410,830,1240,2490,4960,4,7.5,11,21.5,43
"Vodanj","Obrenovac",80,170,250,510,1010,1,1.5,2.5,4.5,9
"Vodanj","Ub",150,320,470,950,1890,2,3,4.5,8.5,17
"Vodanj","Lajkovac",190,390,590,1180,2360,2,3.5,5.5,10.5,21
"Vodanj","Ljig",260,530,790,1590,3170,3,5,7.5,14,27.5
"Vodanj","Merošina",520,1040,1560,3130,6260,4.5,9,13.5,27,53.5
"Vodanj","Niš sever",500,1000,1510,3010,6030,4.5,9,13,26,52
"Vodanj","Niš istok",520,1040,1560,3120,6250,4.5,9,13.5,27,53.5
"Vodanj","Niš Malča",540,1080,1620,3250,6490,5,9.5,14,28,55.5
"Vodanj","Bela Palanka",630,1260,1900,3790,7580,5.5,11,16.5,32.5,65
"Vodanj","Pirot zapad",700,1400,2110,4210,8420,6,12,18.5,36,72
"Vodanj","Pirot istok",740,1470,2210,4420,8850,6.5,13,19,38,76
"Vodanj","Čačak (Pakovraće)",440,890,1330,2670,5320,4.5,8,12,23,46
"Vodanj","Hrtkovci",220,450,670,1340,2680,2.5,4,6.5,12,23.5
"Vodanj","Šabac",260,520,780,1570,3130,3,4.5,7.5,14,27.5
"Vodanj","Kruševac istok",400,790,1190,2370,4740,3.5,7,10.5,20.5,40.5
"Vodanj","Kruševac zapad",400,800,1200,2400,4800,3.5,7,10.5,21,41.5
"Vodanj","Koševi",420,830,1250,2500,5010,4,7.5,11,21.5,43
"Vodanj","Velika Drenova",440,880,1320,2630,5260,4,8,11.5,22.5,45
"Vodanj","Trstenik",480,950,1430,2860,5720,4.5,8.5,12.5,24.5,49
"Vodanj","Vrnjačka Banja",510,1020,1530,3060,6110,4.5,9,13.5,26.5,52.5
"Vodanj","Lučani",510,1030,1540,3090,6170,5,9,14,27,53.5
"Vodanj","Prilipac",560,1120,1680,3370,6730,5.5,10,15,29,58
"Vodanj","Vrba",550,1100,1640,3290,6570,5,9.5,14.5,28.5,56.5
"Vodanj","Adrani",490,980,1470,2940,5880,5,8.5,13,25.5,51
"Kolari","Subotica",520,1050,1570,3150,6310,5,9.5,14,27.5,54
"Kolari","Žednik",470,930,1400,2810,5630,4.5,8.5,12.5,24.5,48.5
"Kolari","Bačka Topola",430,870,1300,2610,5220,4,8,12,23,45
"Kolari","Feketić",380,750,1130,2270,4550,3.5,7,10.5,20,39
"Kolari","Vrbas",350,700,1050,2110,4220,3.5,6.5,9.5,18.5,36.5
"Kolari","Zmajevo",310,630,940,1900,3800,3,6,8.5,17,33
"Kolari","Novi Sad",270,540,810,1630,3260,2.5,5,7.5,14.5,28
"Kolari","Kovilj",220,430,650,1310,2630,2.5,4,6,11.5,23
"Kolari","Beška",170,350,520,1050,2100,2,3.5,5,9.5,18.5
"Kolari","Maradik",160,320,480,980,1950,2,3.5,5,9,17
"Kolari","Inđija",150,300,440,900,1800,1.5,3,4.5,8,15.5
"Kolari","Beograd",100,200,300,610,1220,1,2,3,5.5,10.5
"Kolari","Mali Požarevac",50,100,150,300,610,0.5,1,1.5,3,5.5
"Kolari","Umčari",30,70,100,200,400,0.5,1,1,2,3.5
"Kolari","Vodanj",20,30,50,100,200,0.5,0.5,0.5,1,2
"Kolari","Smederevo",20,30,50,90,190,0.5,0.5,0.5,1,2
"Kolari","Požarevac",20,40,60,120,230,0.5,0.5,1,1.5,2
"Kolari","Velika Plana",100,200,300,590,1180,1,2,3,5.5,10.5
"Kolari","Markovac",130,260,390,780,1560,1.5,2.5,3.5,7,13.5
"Kolari","Lapovo",150,300,440,890,1770,1.5,3,4,8,15.5
"Kolari","Batočina",160,320,470,950,1900,1.5,3,4.5,8.5,16.5
"Kolari","Jagodina",220,430,650,1300,2610,2,4,6,11.5,22.5
"Kolari","Ćuprija",250,510,760,1520,3040,2.5,4.5,6.5,13,26
"Kolari","Paraćin",280,560,850,1690,3390,2.5,5,7.5,14.5,29
"Kolari","Ćićevac",330,650,980,1960,3920,3,6,8.5,17,33.5
"Kolari","Ražanj",350,700,1050,2100,4200,3,6,9,18,36
"Kolari","Aleksinački Rudnici",410,820,1220,2450,4890,4,7.5,10.5,21,42
"Kolari","Aleksinac",420,840,1260,2530,5060,4,7.5,11,22,43.5
"Kolari","Niš jug",490,980,1470,2930,5860,4.5,8.5,13,25.5,50.5
"Kolari","Doljevac",530,1070,1600,3200,6400,5,9.5,14,27.5,55
"Kolari","Brestovac",550,1100,1650,3300,6590,5,9.5,14.5,28.5,56.5
"Kolari","Leskovac centar",570,1140,1710,3420,6830,5,10,15,29.5,58.5
"Kolari","Leskovac jug",610,1230,1840,3680,7360,5.5,11,16,31.5,63
"Kolari","Grdelica",640,1290,1930,3860,7730,5.5,11.5,16.5,33,66.5
"Kolari","Predejane",690,1380,2070,4130,8260,6,12,18,35.5,71
"Kolari","Vladičin Han",760,1520,2270,4550,9100,6.5,13,19.5,39,78
"Kolari","Vranje",820,1640,2470,4930,9870,7.5,14.5,21.5,42.5,84.5
"Kolari","Bujanovac sever",860,1720,2580,5160,10320,7.5,15,22.5,44.5,88.5
"Kolari","Bujanovac jug",870,1740,2610,5220,10440,7.5,15,22.5,45,89.5
"Kolari","Preševo",930,1850,2780,5560,11120,8,16,24,47.5,95
"Kolari","Dimitrovgrad",800,1600,2400,4810,9610,7,14,21,41.5,82.5
"Kolari","Šid",360,720,1080,2170,4340,3.5,6.5,10,19,37.5
"Kolari","Adaševci",100,200,300,610,1220,1,2,3,5.5,10.5
"Kolari","Kuzmin",300,600,890,1800,3590,3,5.5,8.5,16,31
"Kolari","Sremska Mitrovica",240,480,720,1440,2890,2.5,4.5,7,13,25
"Kolari","Ruma",210,410,620,1250,2490,2,4,6,11,21.5
"Kolari","Pećinci",170,340,510,1030,2060,2,3.5,5,9.5,18
"Kolari","Takovo",370,740,1110,2230,4460,3.5,7,10,19.5,38.5
"Kolari","Preljina jug",430,860,1290,2590,5170,4,8,11.5,22.5,44.5
"Kolari","Obrenovac",100,200,300,610,1220,1,2,3,5.5,10.5
"Kolari","Ub",170,350,520,1050,2100,2,3.5,5,9.5,18.5
"Kolari","Lajkovac",210,420,640,1280,2570,2,4,6,11.5,22.5
"Kolari","Ljig",280,560,840,1690,3380,3,5.5,8,15,29
"Kolari","Merošina",500,1010,1510,3030,6050,4.5,8.5,13,25.5,50.5
"Kolari","Niš sever",490,970,1460,2910,5830,4.5,8.5,12.5,25,50
"Kolari","Niš istok",500,1010,1510,3020,6050,4.5,9,13,26,52
"Kolari","Niš Malča",520,1050,1570,3140,6290,4.5,9,13.5,27,54
"Kolari","Bela Palanka",620,1230,1850,3690,7380,5.5,11,16,32,63.5
"Kolari","Pirot zapad",680,1370,2060,4110,8220,6,12,18,35.5,70.5
"Kolari","Pirot istok",720,1440,2160,4320,8640,6.5,12.5,18.5,37,74
"Kolari","Čačak (Pakovraće)",460,920,1380,2770,5530,4.5,8.5,12.5,24,47.5
"Kolari","Hrtkovci",240,480,720,1440,2890,2.5,4.5,7,13,25
"Kolari","Šabac",280,550,830,1670,3340,3,5,8,15,29
"Kolari","Kruševac istok",380,760,1140,2270,4540,3.5,6.5,10,19.5,39
"Kolari","Kruševac zapad",380,770,1150,2300,4600,3.5,7,10,20,39.5
"Kolari","Koševi",400,800,1200,2400,4800,3.5,7,10.5,21,41.5
"Kolari","Velika Drenova",420,840,1260,2530,5060,4,7.5,11,22,43.5
"Kolari","Trstenik",460,920,1380,2760,5520,4,8,12,24,47.5
"Kolari","Vrnjačka Banja",490,980,1480,2950,5910,4.5,8.5,13,25.5,50.5
"Kolari","Lučani",530,1060,1590,3190,6380,5,9.5,14.5,28,55
"Kolari","Prilipac",580,1150,1730,3470,6940,5.5,10.5,15.5,30,59.5
"Kolari","Vrba",530,1060,1590,3180,6370,5,9.5,14,27.5,54.5
"Kolari","Adrani",510,1010,1520,3040,6090,5,9,13.5,26.5,52.5
"Smederevo","Subotica",540,1080,1620,3240,6490,5.5,9.5,14,28,55.5
"Smederevo","Žednik",490,960,1450,2900,5810,5,8.5,12.5,25,50
"Smederevo","Bačka Topola",450,900,1350,2700,5400,4.5,8,12,23.5,46.5
"Smederevo","Feketić",400,780,1180,2360,4730,4,7,10.5,20.5,40.5
"Smederevo","Vrbas",370,730,1100,2200,4400,4,6.5,9.5,19,38
"Smederevo","Zmajevo",330,660,990,1990,3980,3.5,6,8.5,17.5,34.5
"Smederevo","Novi Sad",290,570,860,1720,3440,3,5,7.5,15,29.5
"Smederevo","Kovilj",240,460,700,1400,2810,3,4,6,12,24.5
"Smederevo","Beška",190,380,570,1140,2280,2.5,3.5,5,10,20
"Smederevo","Maradik",180,350,530,1070,2130,2.5,3.5,5,9.5,18.5
"Smederevo","Inđija",170,330,490,990,1980,2,3,4.5,8.5,17
"Smederevo","Beograd",120,230,350,700,1400,1.5,2,3,6,12
"Smederevo","Mali Požarevac",70,130,200,400,790,1,1.5,2,3.5,7
"Smederevo","Umčari",50,100,150,290,580,0.5,1,1.5,2.5,5
"Smederevo","Vodanj",30,60,100,190,390,0.5,1,1,2,3.5
"Smederevo","Kolari",20,30,50,90,190,0.5,0.5,0.5,1,2
"Smederevo","Požarevac",10,10,10,20,50,0.5,0.5,0.5,0.5,0.5
"Smederevo","Velika Plana",80,170,250,500,1000,1,1.5,2.5,4.5,9
"Smederevo","Markovac",110,230,340,690,1380,1,2,3,6,12
"Smederevo","Lapovo",130,260,400,790,1580,1.5,2.5,3.5,7,13.5
"Smederevo","Batočina",140,280,430,850,1710,1.5,2.5,4,7.5,15
"Smederevo","Jagodina",200,400,610,1210,2420,2,3.5,5.5,10.5,21
"Smederevo","Ćuprija",240,480,710,1430,2850,2.5,4.5,6.5,12.5,24.5
"Smederevo","Paraćin",270,530,800,1600,3200,2.5,5,7,14,27.5
"Smederevo","Ćićevac",310,620,930,1870,3740,3,5.5,8,16,32
"Smederevo","Ražanj",330,670,1000,2010,4020,3,6,9,17.5,34.5
"Smederevo","Aleksinački Rudnici",390,780,1180,2350,4710,3.5,7,10.5,20.5,40.5
"Smederevo","Aleksinac",410,810,1220,2440,4870,4,7,10.5,21,42
"Smederevo","Niš jug",470,950,1420,2840,5680,4.5,8.5,12.5,24.5,49
"Smederevo","Doljevac",520,1040,1550,3110,6210,4.5,9,13.5,27,53.5
"Smederevo","Brestovac",530,1070,1600,3200,6410,5,9.5,14,27.5,55
"Smederevo","Leskovac centar",550,1110,1660,3320,6650,5,9.5,14.5,28.5,57
"Smederevo","Leskovac jug",600,1200,1790,3590,7170,5.5,10.5,15.5,31,61.5
"Smederevo","Grdelica",630,1260,1890,3770,7540,5.5,11,16.5,32.5,64.5
"Smederevo","Predejane",670,1350,2020,4040,8080,6,12,17.5,35,69.5
